,name,semester,program_id,credits,hours_lecture,seminar_lecture,estimation_in_diploma,exam,test,description,url
102,Математический Анализ 4,4,2,6,3,3,TRUE,TRUE,TRUE,,2
103,Дифференциальная Геометрия и Тензорный Анализ,4,2,4,2,2,TRUE,TRUE,FALSE,,2
104,Дифференциальные Уравнения,4,2,4,2,2,TRUE,TRUE,FALSE,,2
105,Теоретическая Механик,4,2,6,3,3,FALSE,TRUE,TRUE,,2
106,Работа на ЭВМ и Программирование 3,4,2,2,1,1,TRUE,TRUE,FALSE,,2
107,Иностранный Язык,5,2,4,2,2,TRUE,TRUE,FALSE,,2
108,Функциональный Анализ,5,2,4,2,2,FALSE,TRUE,TRUE,,2
109,Комплексный Анализ,5,2,4,2,2,FALSE,TRUE,TRUE,,2
110,Уравнения Математической Физики,5,2,4,2,2,FALSE,FALSE,TRUE,,2
111,Теоретическая Механика,5,2,4,2,2,TRUE,TRUE,TRUE,,2
112,Физико-Механический Практикум,5,2,4,2,2,FALSE,FALSE,TRUE,,2
113,"Механика Сплошных Сред (Механика Жидкости, Газа и Плазмы; Механика Деформируемых Твердых Тел)",5,2,4,2,2,FALSE,TRUE,TRUE,,2
114,Специальные Курсы (по выбору кафедры),5,2,2,1,1,FALSE,FALSE,FALSE,,2
115,Научно-исследовательский семинар,5,2,2,0,2,FALSE,FALSE,FALSE,,2
116,История,6,2,3,"1,5","1,5",FALSE,FALSE,TRUE,,2
117,Функциональный Анализ,6,2,4,2,2,TRUE,TRUE,TRUE,,2
118,Уравнения Математической Физики,6,2,4,2,2,TRUE,TRUE,FALSE,,2
119,Физико-Механический Практикум,6,2,4,2,2,FALSE,FALSE,TRUE,,2
120,Межфакультетские Курсы по Выбору Студента,6,2,1,0,0,FALSE,FALSE,TRUE,,2
121,"Механика Сплошных Сред (Механика Жидкости, Газа и Плазмы; Механика Деформируемых Твердых Тел)",6,2,8,4,4,TRUE,TRUE,TRUE,,2
122,Специальные Курсы (по выбору кафедры),6,2,2,1,1,FALSE,TRUE,FALSE,,2
123,Научно-Исследовательский Семинар,6,2,2,0,2,FALSE,FALSE,TRUE,,2
124,История,6,2,3,"1,5","1,5",FALSE,FALSE,TRUE,,2
125,Теория Вероятностей и Математическая Статистика,7,2,4,2,2,TRUE,TRUE,TRUE,,2
126,Практикум на ЭВМ,7,2,2,1,1,FALSE,FALSE,TRUE,,2
127,Дискретная Математика,7,2,4,2,2,FALSE,TRUE,FALSE,,2
128,Механика Управляемых Систем,7,2,4,2,2,FALSE,FALSE,TRUE,,2
129,Численные Методы,7,2,4,2,2,FALSE,FALSE,TRUE,,2
130,Межфакультетские Курсы по Выбору Студента,7,2,1,0,0,FALSE,FALSE,TRUE,,2
131,Специальный Физико-Механический Практикум,7,2,4,2,2,FALSE,FALSE,TRUE,,2
132,Специальные Курсы (по выбору кафедры),7,2,2,1,1,FALSE,FALSE,FALSE,,2
133,Научно-Исследовательский Семинар,7,2,2,0,2,FALSE,FALSE,FALSE,,2
134,Теория Случайных Процессов,8,2,4,2,2,TRUE,TRUE,TRUE,,2
135,Практикум на ЭВМ,8,2,2,1,1,FALSE,FALSE,TRUE,,2
136,Дискретная Математика,8,2,4,2,2,TRUE,TRUE,FALSE,,2
